type,date,num1,num2,num3,num4,num5,num6,download_time
Powerball,2012-11-28,5,23,16,22,29,6,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-12-01,46,10,3,19,36,3,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-12-05,27,19,38,13,17,12,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-12-08,23,40,53,26,7,21,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-12-12,36,25,44,8,10,28,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-12-15,40,23,44,55,15,14,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-12-19,23,20,5,30,8,3,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-12-22,18,44,35,39,1,11,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-12-26,54,43,13,11,23,4,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-12-29,55,52,46,50,36,14,"2024-11-16, 11:54:38 PM CST"
Powerball,2013-01-02,20,18,53,28,35,20,"2024-11-16, 11:54:38 PM CST"
Powerball,2013-01-05,30,49,54,26,51,25,"2024-11-16, 11:54:38 PM CST"
Powerball,2013-01-09,11,20,13,27,59,26,"2024-11-16, 11:54:38 PM CST"
